Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
HYUNDAI Ioniq Plug-in Hybrid,1.6,4,AMS-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NHYXV01.6P2T,midsize car,7,52/123,51/115,52/119,10,Yes
HYUNDAI Kona,2,4,SCV-1,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.0KE3,small SUV,7,30,35,32,7,Yes
HYUNDAI Kona,2,4,SCV-1,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.0KE3,small SUV,7,30,35,32,7,Yes
HYUNDAI Kona Electric,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0K41,small SUV,10,132,108,120,10,Elite
HYUNDAI Kona Electric,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NHYXV00.0K41,small SUV,10,132,108,120,10,Elite
HYUNDAI NEXO,N/A,N/A,Auto-1,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0R31,small SUV,10,59,54,57,10,Elite
HYUNDAI NEXO,N/A,N/A,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,NHYXV00.0R31,small SUV,10,59,54,57,10,Elite
HYUNDAI NEXO Blue,N/A,N/A,Auto-1,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0R31,small SUV,10,65,58,61,10,Elite
HYUNDAI NEXO Blue,N/A,N/A,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,NHYXV00.0R31,small SUV,10,65,58,61,10,Elite
HYUNDAI Santa Fe Hybrid,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6M13,small SUV,7,33,30,32,7,Yes
HYUNDAI Santa Fe Hybrid,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6M13,small SUV,7,33,30,32,7,Yes
HYUNDAI Santa Fe Hybrid Blue,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6M13,small SUV,7,36,31,34,7,Yes
HYUNDAI Santa Fe Hybrid Blue,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6M13,small SUV,7,36,31,34,7,Yes
HYUNDAI Santa Fe Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6M2T,small SUV,7,33/79,32/72,33/76,10,Yes
HYUNDAI Santa Fe Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6M2T,small SUV,7,33/79,32/72,33/76,10,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.5ER3,large car,7,27,37,31,7,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.5ER3,large car,7,28,38,32,7,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.5ER3,large car,7,27,37,31,7,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.5ER3,large car,7,28,38,32,7,Yes
